uf;municipio;evento;data_referencia;total;total_peso;abrangencia;formulario;ano;ano_data;mes_data;trimestre_data
ES;NÃO INFORMADO;Tráfico de drogas;01/02/2019;408;;Estadual;Formulário 4;2019;2019;2;1
GO;NÃO INFORMADO;Tráfico de drogas;01/02/2019;562;;Estadual;Formulário 4;2019;2019;2;1
MA;NÃO INFORMADO;Tráfico de drogas;01/02/2019;116;;Estadual;Formulário 4;2019;2019;2;1
MG;NÃO INFORMADO;Tráfico de drogas;01/02/2019;2963;;Estadual;Formulário 4;2019;2019;2;1
MS;NÃO INFORMADO;Tráfico de drogas;01/02/2019;361;;Estadual;Formulário 4;2019;2019;2;1
MT;NÃO INFORMADO;Tráfico de drogas;01/02/2019;386;;Estadual;Formulário 4;2019;2019;2;1
PA;NÃO INFORMADO;Tráfico de drogas;01/02/2019;594;;Estadual;Formulário 4;2019;2019;2;1
PB;NÃO INFORMADO;Tráfico de drogas;01/02/2019;59;;Estadual;Formulário 4;2019;2019;2;1
PE;NÃO INFORMADO;Tráfico de drogas;01/02/2019;520;;Estadual;Formulário 4;2019;2019;2;1
PI;NÃO INFORMADO;Tráfico de drogas;01/02/2019;61;;Estadual;Formulário 4;2019;2019;2;1
PR;NÃO INFORMADO;Tráfico de drogas;01/02/2019;937;;Estadual;Formulário 4;2019;2019;2;1
RJ;NÃO INFORMADO;Tráfico de drogas;01/02/2019;1894;;Estadual;Formulário 4;2019;2019;2;1
RN;NÃO INFORMADO;Tráfico de drogas;01/02/2019;31;;Estadual;Formulário 4;2019;2019;2;1
RO;NÃO INFORMADO;Tráfico de drogas;01/02/2019;73;;Estadual;Formulário 4;2019;2019;2;1
RR;NÃO INFORMADO;Tráfico de drogas;01/02/2019;27;;Estadual;Formulário 4;2019;2019;2;1
RS;NÃO INFORMADO;Tráfico de drogas;01/02/2019;978;;Estadual;Formulário 4;2019;2019;2;1
SC;NÃO INFORMADO;Tráfico de drogas;01/02/2019;976;;Estadual;Formulário 4;2019;2019;2;1
SE;NÃO INFORMADO;Tráfico de drogas;01/02/2019;95;;Estadual;Formulário 4;2019;2019;2;1
SP;NÃO INFORMADO;Tráfico de drogas;01/02/2019;4061;;Estadual;Formulário 4;2019;2019;2;1
TO;NÃO INFORMADO;Tráfico de drogas;01/02/2019;64;;Estadual;Formulário 4;2019;2019;2;1
AC;NÃO INFORMADO;Tráfico de drogas;01/03/2019;12;;Estadual;Formulário 4;2019;2019;3;1
AL;NÃO INFORMADO;Tráfico de drogas;01/03/2019;3;;Estadual;Formulário 4;2019;2019;3;1
AM;NÃO INFORMADO;Tráfico de drogas;01/03/2019;296;;Estadual;Formulário 4;2019;2019;3;1
AP;NÃO INFORMADO;Tráfico de drogas;01/03/2019;69;;Estadual;Formulário 4;2019;2019;3;1
BA;NÃO INFORMADO;Tráfico de drogas;01/03/2019;588;;Estadual;Formulário 4;2019;2019;3;1
CE;NÃO INFORMADO;Tráfico de drogas;01/03/2019;510;;Estadual;Formulário 4;2019;2019;3;1
DF;NÃO INFORMADO;Tráfico de drogas;01/03/2019;214;;Estadual;Formulário 4;2019;2019;3;1
ES;NÃO INFORMADO;Tráfico de drogas;01/03/2019;460;;Estadual;Formulário 4;2019;2019;3;1
GO;NÃO INFORMADO;Tráfico de drogas;01/03/2019;623;;Estadual;Formulário 4;2019;2019;3;1
MA;NÃO INFORMADO;Tráfico de drogas;01/03/2019;121;;Estadual;Formulário 4;2019;2019;3;1
MG;NÃO INFORMADO;Tráfico de drogas;01/03/2019;3408;;Estadual;Formulário 4;2019;2019;3;1
MS;NÃO INFORMADO;Tráfico de drogas;01/03/2019;319;;Estadual;Formulário 4;2019;2019;3;1
MT;NÃO INFORMADO;Tráfico de drogas;01/03/2019;420;;Estadual;Formulário 4;2019;2019;3;1
PA;NÃO INFORMADO;Tráfico de drogas;01/03/2019;340;;Estadual;Formulário 4;2019;2019;3;1
PB;NÃO INFORMADO;Tráfico de drogas;01/03/2019;76;;Estadual;Formulário 4;2019;2019;3;1
PE;NÃO INFORMADO;Tráfico de drogas;01/03/2019;541;;Estadual;Formulário 4;2019;2019;3;1
PI;NÃO INFORMADO;Tráfico de drogas;01/03/2019;76;;Estadual;Formulário 4;2019;2019;3;1
PR;NÃO INFORMADO;Tráfico de drogas;01/03/2019;1062;;Estadual;Formulário 4;2019;2019;3;1
RJ;NÃO INFORMADO;Tráfico de drogas;01/03/2019;1767;;Estadual;Formulário 4;2019;2019;3;1
RN;NÃO INFORMADO;Tráfico de drogas;01/03/2019;34;;Estadual;Formulário 4;2019;2019;3;1
RO;NÃO INFORMADO;Tráfico de drogas;01/03/2019;131;;Estadual;Formulário 4;2019;2019;3;1
RR;NÃO INFORMADO;Tráfico de drogas;01/03/2019;30;;Estadual;Formulário 4;2019;2019;3;1
RS;NÃO INFORMADO;Tráfico de drogas;01/03/2019;1127;;Estadual;Formulário 4;2019;2019;3;1
SC;NÃO INFORMADO;Tráfico de drogas;01/03/2019;928;;Estadual;Formulário 4;2019;2019;3;1
SE;NÃO INFORMADO;Tráfico de drogas;01/03/2019;110;;Estadual;Formulário 4;2019;2019;3;1
SP;NÃO INFORMADO;Tráfico de drogas;01/03/2019;4321;;Estadual;Formulário 4;2019;2019;3;1
TO;NÃO INFORMADO;Tráfico de drogas;01/03/2019;83;;Estadual;Formulário 4;2019;2019;3;1
AC;NÃO INFORMADO;Tráfico de drogas;01/04/2019;15;;Estadual;Formulário 4;2019;2019;4;2
AL;NÃO INFORMADO;Tráfico de drogas;01/04/2019;0;;Estadual;Formulário 4;2019;2019;4;2
AM;NÃO INFORMADO;Tráfico de drogas;01/04/2019;332;;Estadual;Formulário 4;2019;2019;4;2
AP;NÃO INFORMADO;Tráfico de drogas;01/04/2019;53;;Estadual;Formulário 4;2019;2019;4;2
BA;NÃO INFORMADO;Tráfico de drogas;01/04/2019;628;;Estadual;Formulário 4;2019;2019;4;2
CE;NÃO INFORMADO;Tráfico de drogas;01/04/2019;592;;Estadual;Formulário 4;2019;2019;4;2
DF;NÃO INFORMADO;Tráfico de drogas;01/04/2019;235;;Estadual;Formulário 4;2019;2019;4;2
ES;NÃO INFORMADO;Tráfico de drogas;01/04/2019;440;;Estadual;Formulário 4;2019;2019;4;2
GO;NÃO INFORMADO;Tráfico de drogas;01/04/2019;639;;Estadual;Formulário 4;2019;2019;4;2
MA;NÃO INFORMADO;Tráfico de drogas;01/04/2019;161;;Estadual;Formulário 4;2019;2019;4;2
MG;NÃO INFORMADO;Tráfico de drogas;01/04/2019;2937;;Estadual;Formulário 4;2019;2019;4;2
MS;NÃO INFORMADO;Tráfico de drogas;01/04/2019;391;;Estadual;Formulário 4;2019;2019;4;2
MT;NÃO INFORMADO;Tráfico de drogas;01/04/2019;427;;Estadual;Formulário 4;2019;2019;4;2
PA;NÃO INFORMADO;Tráfico de drogas;01/04/2019;556;;Estadual;Formulário 4;2019;2019;4;2
PB;NÃO INFORMADO;Tráfico de drogas;01/04/2019;96;;Estadual;Formulário 4;2019;2019;4;2
PE;NÃO INFORMADO;Tráfico de drogas;01/04/2019;519;;Estadual;Formulário 4;2019;2019;4;2
PI;NÃO INFORMADO;Tráfico de drogas;01/04/2019;153;;Estadual;Formulário 4;2019;2019;4;2
PR;NÃO INFORMADO;Tráfico de drogas;01/04/2019;1087;;Estadual;Formulário 4;2019;2019;4;2
RJ;NÃO INFORMADO;Tráfico de drogas;01/04/2019;1728;;Estadual;Formulário 4;2019;2019;4;2
RN;NÃO INFORMADO;Tráfico de drogas;01/04/2019;32;;Estadual;Formulário 4;2019;2019;4;2
RO;NÃO INFORMADO;Tráfico de drogas;01/04/2019;127;;Estadual;Formulário 4;2019;2019;4;2
RR;NÃO INFORMADO;Tráfico de drogas;01/04/2019;36;;Estadual;Formulário 4;2019;2019;4;2
RS;NÃO INFORMADO;Tráfico de drogas;01/04/2019;1094;;Estadual;Formulário 4;2019;2019;4;2
SC;NÃO INFORMADO;Tráfico de drogas;01/04/2019;653;;Estadual;Formulário 4;2019;2019;4;2
SE;NÃO INFORMADO;Tráfico de drogas;01/04/2019;123;;Estadual;Formulário 4;2019;2019;4;2
SP;NÃO INFORMADO;Tráfico de drogas;01/04/2019;4082;;Estadual;Formulário 4;2019;2019;4;2
TO;NÃO INFORMADO;Tráfico de drogas;01/04/2019;72;;Estadual;Formulário 4;2019;2019;4;2
AC;NÃO INFORMADO;Tráfico de drogas;01/05/2019;16;;Estadual;Formulário 4;2019;2019;5;2
AL;NÃO INFORMADO;Tráfico de drogas;01/05/2019;153;;Estadual;Formulário 4;2019;2019;5;2
AM;NÃO INFORMADO;Tráfico de drogas;01/05/2019;284;;Estadual;Formulário 4;2019;2019;5;2
AP;NÃO INFORMADO;Tráfico de drogas;01/05/2019;64;;Estadual;Formulário 4;2019;2019;5;2
BA;NÃO INFORMADO;Tráfico de drogas;01/05/2019;668;;Estadual;Formulário 4;2019;2019;5;2
CE;NÃO INFORMADO;Tráfico de drogas;01/05/2019;727;;Estadual;Formulário 4;2019;2019;5;2
DF;NÃO INFORMADO;Tráfico de drogas;01/05/2019;287;;Estadual;Formulário 4;2019;2019;5;2
ES;NÃO INFORMADO;Tráfico de drogas;01/05/2019;390;;Estadual;Formulário 4;2019;2019;5;2
GO;NÃO INFORMADO;Tráfico de drogas;01/05/2019;546;;Estadual;Formulário 4;2019;2019;5;2
MA;NÃO INFORMADO;Tráfico de drogas;01/05/2019;192;;Estadual;Formulário 4;2019;2019;5;2
MG;NÃO INFORMADO;Tráfico de drogas;01/05/2019;2979;;Estadual;Formulário 4;2019;2019;5;2
MS;NÃO INFORMADO;Tráfico de drogas;01/05/2019;463;;Estadual;Formulário 4;2019;2019;5;2
MT;NÃO INFORMADO;Tráfico de drogas;01/05/2019;434;;Estadual;Formulário 4;2019;2019;5;2
PA;NÃO INFORMADO;Tráfico de drogas;01/05/2019;602;;Estadual;Formulário 4;2019;2019;5;2
PB;NÃO INFORMADO;Tráfico de drogas;01/05/2019;93;;Estadual;Formulário 4;2019;2019;5;2
PE;NÃO INFORMADO;Tráfico de drogas;01/05/2019;602;;Estadual;Formulário 4;2019;2019;5;2
PI;NÃO INFORMADO;Tráfico de drogas;01/05/2019;73;;Estadual;Formulário 4;2019;2019;5;2
PR;NÃO INFORMADO;Tráfico de drogas;01/05/2019;1134;;Estadual;Formulário 4;2019;2019;5;2
RJ;NÃO INFORMADO;Tráfico de drogas;01/05/2019;1839;;Estadual;Formulário 4;2019;2019;5;2
RN;NÃO INFORMADO;Tráfico de drogas;01/05/2019;31;;Estadual;Formulário 4;2019;2019;5;2
RO;NÃO INFORMADO;Tráfico de drogas;01/05/2019;122;;Estadual;Formulário 4;2019;2019;5;2
RR;NÃO INFORMADO;Tráfico de drogas;01/05/2019;39;;Estadual;Formulário 4;2019;2019;5;2
RS;NÃO INFORMADO;Tráfico de drogas;01/05/2019;1070;;Estadual;Formulário 4;2019;2019;5;2
SC;NÃO INFORMADO;Tráfico de drogas;01/05/2019;705;;Estadual;Formulário 4;2019;2019;5;2
SE;NÃO INFORMADO;Tráfico de drogas;01/05/2019;119;;Estadual;Formulário 4;2019;2019;5;2
SP;NÃO INFORMADO;Tráfico de drogas;01/05/2019;4347;;Estadual;Formulário 4;2019;2019;5;2
TO;NÃO INFORMADO;Tráfico de drogas;01/05/2019;78;;Estadual;Formulário 4;2019;2019;5;2
AC;NÃO INFORMADO;Tráfico de drogas;01/06/2019;13;;Estadual;Formulário 4;2019;2019;6;2
AL;NÃO INFORMADO;Tráfico de drogas;01/06/2019;137;;Estadual;Formulário 4;2019;2019;6;2
AM;NÃO INFORMADO;Tráfico de drogas;01/06/2019;369;;Estadual;Formulário 4;2019;2019;6;2
AP;NÃO INFORMADO;Tráfico de drogas;01/06/2019;52;;Estadual;Formulário 4;2019;2019;6;2
BA;NÃO INFORMADO;Tráfico de drogas;01/06/2019;585;;Estadual;Formulário 4;2019;2019;6;2
CE;NÃO INFORMADO;Tráfico de drogas;01/06/2019;550;;Estadual;Formulário 4;2019;2019;6;2
DF;NÃO INFORMADO;Tráfico de drogas;01/06/2019;207;;Estadual;Formulário 4;2019;2019;6;2
ES;NÃO INFORMADO;Tráfico de drogas;01/06/2019;462;;Estadual;Formulário 4;2019;2019;6;2
GO;NÃO INFORMADO;Tráfico de drogas;01/06/2019;569;;Estadual;Formulário 4;2019;2019;6;2
MA;NÃO INFORMADO;Tráfico de drogas;01/06/2019;203;;Estadual;Formulário 4;2019;2019;6;2
MG;NÃO INFORMADO;Tráfico de drogas;01/06/2019;2777;;Estadual;Formulário 4;2019;2019;6;2
MS;NÃO INFORMADO;Tráfico de drogas;01/06/2019;381;;Estadual;Formulário 4;2019;2019;6;2
MT;NÃO INFORMADO;Tráfico de drogas;01/06/2019;373;;Estadual;Formulário 4;2019;2019;6;2
PA;NÃO INFORMADO;Tráfico de drogas;01/06/2019;491;;Estadual;Formulário 4;2019;2019;6;2
PB;NÃO INFORMADO;Tráfico de drogas;01/06/2019;80;;Estadual;Formulário 4;2019;2019;6;2
PE;NÃO INFORMADO;Tráfico de drogas;01/06/2019;556;;Estadual;Formulário 4;2019;2019;6;2
PI;NÃO INFORMADO;Tráfico de drogas;01/06/2019;68;;Estadual;Formulário 4;2019;2019;6;2
PR;NÃO INFORMADO;Tráfico de drogas;01/06/2019;1086;;Estadual;Formulário 4;2019;2019;6;2
RJ;NÃO INFORMADO;Tráfico de drogas;01/06/2019;1705;;Estadual;Formulário 4;2019;2019;6;2
RN;NÃO INFORMADO;Tráfico de drogas;01/06/2019;42;;Estadual;Formulário 4;2019;2019;6;2
RO;NÃO INFORMADO;Tráfico de drogas;01/06/2019;116;;Estadual;Formulário 4;2019;2019;6;2
RR;NÃO INFORMADO;Tráfico de drogas;01/06/2019;18;;Estadual;Formulário 4;2019;2019;6;2
RS;NÃO INFORMADO;Tráfico de drogas;01/06/2019;1043;;Estadual;Formulário 4;2019;2019;6;2
SC;NÃO INFORMADO;Tráfico de drogas;01/06/2019;587;;Estadual;Formulário 4;2019;2019;6;2
SE;NÃO INFORMADO;Tráfico de drogas;01/06/2019;115;;Estadual;Formulário 4;2019;2019;6;2
SP;NÃO INFORMADO;Tráfico de drogas;01/06/2019;4129;;Estadual;Formulário 4;2019;2019;6;2
TO;NÃO INFORMADO;Tráfico de drogas;01/06/2019;48;;Estadual;Formulário 4;2019;2019;6;2
AC;NÃO INFORMADO;Tráfico de drogas;01/07/2019;10;;Estadual;Formulário 4;2019;2019;7;3
AL;NÃO INFORMADO;Tráfico de drogas;01/07/2019;126;;Estadual;Formulário 4;2019;2019;7;3
AM;NÃO INFORMADO;Tráfico de drogas;01/07/2019;352;;Estadual;Formulário 4;2019;2019;7;3
AP;NÃO INFORMADO;Tráfico de drogas;01/07/2019;56;;Estadual;Formulário 4;2019;2019;7;3
BA;NÃO INFORMADO;Tráfico de drogas;01/07/2019;584;;Estadual;Formulário 4;2019;2019;7;3
CE;NÃO INFORMADO;Tráfico de drogas;01/07/2019;532;;Estadual;Formulário 4;2019;2019;7;3
DF;NÃO INFORMADO;Tráfico de drogas;01/07/2019;229;;Estadual;Formulário 4;2019;2019;7;3
ES;NÃO INFORMADO;Tráfico de drogas;01/07/2019;432;;Estadual;Formulário 4;2019;2019;7;3
GO;NÃO INFORMADO;Tráfico de drogas;01/07/2019;618;;Estadual;Formulário 4;2019;2019;7;3
MA;NÃO INFORMADO;Tráfico de drogas;01/07/2019;214;;Estadual;Formulário 4;2019;2019;7;3
MG;NÃO INFORMADO;Tráfico de drogas;01/07/2019;2805;;Estadual;Formulário 4;2019;2019;7;3
MS;NÃO INFORMADO;Tráfico de drogas;01/07/2019;400;;Estadual;Formulário 4;2019;2019;7;3
MT;NÃO INFORMADO;Tráfico de drogas;01/07/2019;425;;Estadual;Formulário 4;2019;2019;7;3
PA;NÃO INFORMADO;Tráfico de drogas;01/07/2019;583;;Estadual;Formulário 4;2019;2019;7;3
PB;NÃO INFORMADO;Tráfico de drogas;01/07/2019;86;;Estadual;Formulário 4;2019;2019;7;3
PE;NÃO INFORMADO;Tráfico de drogas;01/07/2019;539;;Estadual;Formulário 4;2019;2019;7;3
PI;NÃO INFORMADO;Tráfico de drogas;01/07/2019;93;;Estadual;Formulário 4;2019;2019;7;3
PR;NÃO INFORMADO;Tráfico de drogas;01/07/2019;1077;;Estadual;Formulário 4;2019;2019;7;3
RJ;NÃO INFORMADO;Tráfico de drogas;01/07/2019;1679;;Estadual;Formulário 4;2019;2019;7;3
RN;NÃO INFORMADO;Tráfico de drogas;01/07/2019;63;;Estadual;Formulário 4;2019;2019;7;3
RO;NÃO INFORMADO;Tráfico de drogas;01/07/2019;117;;Estadual;Formulário 4;2019;2019;7;3
RR;NÃO INFORMADO;Tráfico de drogas;01/07/2019;17;;Estadual;Formulário 4;2019;2019;7;3
RS;NÃO INFORMADO;Tráfico de drogas;01/07/2019;1059;;Estadual;Formulário 4;2019;2019;7;3
SC;NÃO INFORMADO;Tráfico de drogas;01/07/2019;522;;Estadual;Formulário 4;2019;2019;7;3
SE;NÃO INFORMADO;Tráfico de drogas;01/07/2019;92;;Estadual;Formulário 4;2019;2019;7;3
SP;NÃO INFORMADO;Tráfico de drogas;01/07/2019;4077;;Estadual;Formulário 4;2019;2019;7;3
TO;NÃO INFORMADO;Tráfico de drogas;01/07/2019;44;;Estadual;Formulário 4;2019;2019;7;3
AC;NÃO INFORMADO;Tráfico de drogas;01/08/2019;13;;Estadual;Formulário 4;2019;2019;8;3
AL;NÃO INFORMADO;Tráfico de drogas;01/08/2019;118;;Estadual;Formulário 4;2019;2019;8;3
AM;NÃO INFORMADO;Tráfico de drogas;01/08/2019;293;;Estadual;Formulário 4;2019;2019;8;3
AP;NÃO INFORMADO;Tráfico de drogas;01/08/2019;64;;Estadual;Formulário 4;2019;2019;8;3
BA;NÃO INFORMADO;Tráfico de drogas;01/08/2019;634;;Estadual;Formulário 4;2019;2019;8;3
CE;NÃO INFORMADO;Tráfico de drogas;01/08/2019;532;;Estadual;Formulário 4;2019;2019;8;3
DF;NÃO INFORMADO;Tráfico de drogas;01/08/2019;268;;Estadual;Formulário 4;2019;2019;8;3
ES;NÃO INFORMADO;Tráfico de drogas;01/08/2019;470;;Estadual;Formulário 4;2019;2019;8;3
GO;NÃO INFORMADO;Tráfico de drogas;01/08/2019;684;;Estadual;Formulário 4;2019;2019;8;3
MA;NÃO INFORMADO;Tráfico de drogas;01/08/2019;155;;Estadual;Formulário 4;2019;2019;8;3
MG;NÃO INFORMADO;Tráfico de drogas;01/08/2019;3111;;Estadual;Formulário 4;2019;2019;8;3
MS;NÃO INFORMADO;Tráfico de drogas;01/08/2019;405;;Estadual;Formulário 4;2019;2019;8;3
MT;NÃO INFORMADO;Tráfico de drogas;01/08/2019;340;;Estadual;Formulário 4;2019;2019;8;3
PA;NÃO INFORMADO;Tráfico de drogas;01/08/2019;480;;Estadual;Formulário 4;2019;2019;8;3
PB;NÃO INFORMADO;Tráfico de drogas;01/08/2019;60;;Estadual;Formulário 4;2019;2019;8;3
PE;NÃO INFORMADO;Tráfico de drogas;01/08/2019;664;;Estadual;Formulário 4;2019;2019;8;3
PI;NÃO INFORMADO;Tráfico de drogas;01/08/2019;116;;Estadual;Formulário 4;2019;2019;8;3
PR;NÃO INFORMADO;Tráfico de drogas;01/08/2019;1151;;Estadual;Formulário 4;2019;2019;8;3
RJ;NÃO INFORMADO;Tráfico de drogas;01/08/2019;1700;;Estadual;Formulário 4;2019;2019;8;3
RN;NÃO INFORMADO;Tráfico de drogas;01/08/2019;55;;Estadual;Formulário 4;2019;2019;8;3
RO;NÃO INFORMADO;Tráfico de drogas;01/08/2019;102;;Estadual;Formulário 4;2019;2019;8;3
RR;NÃO INFORMADO;Tráfico de drogas;01/08/2019;40;;Estadual;Formulário 4;2019;2019;8;3
RS;NÃO INFORMADO;Tráfico de drogas;01/08/2019;1114;;Estadual;Formulário 4;2019;2019;8;3
SC;NÃO INFORMADO;Tráfico de drogas;01/08/2019;557;;Estadual;Formulário 4;2019;2019;8;3
SE;NÃO INFORMADO;Tráfico de drogas;01/08/2019;91;;Estadual;Formulário 4;2019;2019;8;3
SP;NÃO INFORMADO;Tráfico de drogas;01/08/2019;4172;;Estadual;Formulário 4;2019;2019;8;3
TO;NÃO INFORMADO;Tráfico de drogas;01/08/2019;76;;Estadual;Formulário 4;2019;2019;8;3
AC;NÃO INFORMADO;Tráfico de drogas;01/09/2019;21;;Estadual;Formulário 4;2019;2019;9;3
AL;NÃO INFORMADO;Tráfico de drogas;01/09/2019;105;;Estadual;Formulário 4;2019;2019;9;3
AM;NÃO INFORMADO;Tráfico de drogas;01/09/2019;227;;Estadual;Formulário 4;2019;2019;9;3
AP;NÃO INFORMADO;Tráfico de drogas;01/09/2019;58;;Estadual;Formulário 4;2019;2019;9;3
BA;NÃO INFORMADO;Tráfico de drogas;01/09/2019;656;;Estadual;Formulário 4;2019;2019;9;3
CE;NÃO INFORMADO;Tráfico de drogas;01/09/2019;544;;Estadual;Formulário 4;2019;2019;9;3
DF;NÃO INFORMADO;Tráfico de drogas;01/09/2019;203;;Estadual;Formulário 4;2019;2019;9;3
ES;NÃO INFORMADO;Tráfico de drogas;01/09/2019;463;;Estadual;Formulário 4;2019;2019;9;3
GO;NÃO INFORMADO;Tráfico de drogas;01/09/2019;662;;Estadual;Formulário 4;2019;2019;9;3
MA;NÃO INFORMADO;Tráfico de drogas;01/09/2019;157;;Estadual;Formulário 4;2019;2019;9;3
MG;NÃO INFORMADO;Tráfico de drogas;01/09/2019;2824;;Estadual;Formulário 4;2019;2019;9;3
MS;NÃO INFORMADO;Tráfico de drogas;01/09/2019;334;;Estadual;Formulário 4;2019;2019;9;3
MT;NÃO INFORMADO;Tráfico de drogas;01/09/2019;303;;Estadual;Formulário 4;2019;2019;9;3
PA;NÃO INFORMADO;Tráfico de drogas;01/09/2019;465;;Estadual;Formulário 4;2019;2019;9;3
PB;NÃO INFORMADO;Tráfico de drogas;01/09/2019;71;;Estadual;Formulário 4;2019;2019;9;3
PE;NÃO INFORMADO;Tráfico de drogas;01/09/2019;612;;Estadual;Formulário 4;2019;2019;9;3
PI;NÃO INFORMADO;Tráfico de drogas;01/09/2019;92;;Estadual;Formulário 4;2019;2019;9;3
PR;NÃO INFORMADO;Tráfico de drogas;01/09/2019;1028;;Estadual;Formulário 4;2019;2019;9;3
RJ;NÃO INFORMADO;Tráfico de drogas;01/09/2019;1619;;Estadual;Formulário 4;2019;2019;9;3
RN;NÃO INFORMADO;Tráfico de drogas;01/09/2019;60;;Estadual;Formulário 4;2019;2019;9;3
RO;NÃO INFORMADO;Tráfico de drogas;01/09/2019;132;;Estadual;Formulário 4;2019;2019;9;3
RR;NÃO INFORMADO;Tráfico de drogas;01/09/2019;33;;Estadual;Formulário 4;2019;2019;9;3
RS;NÃO INFORMADO;Tráfico de drogas;01/09/2019;1198;;Estadual;Formulário 4;2019;2019;9;3
SC;NÃO INFORMADO;Tráfico de drogas;01/09/2019;436;;Estadual;Formulário 4;2019;2019;9;3
SE;NÃO INFORMADO;Tráfico de drogas;01/09/2019;96;;Estadual;Formulário 4;2019;2019;9;3
SP;NÃO INFORMADO;Tráfico de drogas;01/09/2019;3708;;Estadual;Formulário 4;2019;2019;9;3
TO;NÃO INFORMADO;Tráfico de drogas;01/09/2019;78;;Estadual;Formulário 4;2019;2019;9;3
AC;NÃO INFORMADO;Tráfico de drogas;01/10/2019;9;;Estadual;Formulário 4;2019;2019;10;4
AL;NÃO INFORMADO;Tráfico de drogas;01/10/2019;141;;Estadual;Formulário 4;2019;2019;10;4
AM;NÃO INFORMADO;Tráfico de drogas;01/10/2019;289;;Estadual;Formulário 4;2019;2019;10;4
AP;NÃO INFORMADO;Tráfico de drogas;01/10/2019;46;;Estadual;Formulário 4;2019;2019;10;4
BA;NÃO INFORMADO;Tráfico de drogas;01/10/2019;447;;Estadual;Formulário 4;2019;2019;10;4
CE;NÃO INFORMADO;Tráfico de drogas;01/10/2019;535;;Estadual;Formulário 4;2019;2019;10;4
DF;NÃO INFORMADO;Tráfico de drogas;01/10/2019;201;;Estadual;Formulário 4;2019;2019;10;4
ES;NÃO INFORMADO;Tráfico de drogas;01/10/2019;444;;Estadual;Formulário 4;2019;2019;10;4
GO;NÃO INFORMADO;Tráfico de drogas;01/10/2019;621;;Estadual;Formulário 4;2019;2019;10;4
MA;NÃO INFORMADO;Tráfico de drogas;01/10/2019;177;;Estadual;Formulário 4;2019;2019;10;4
MG;NÃO INFORMADO;Tráfico de drogas;01/10/2019;2935;;Estadual;Formulário 4;2019;2019;10;4
MS;NÃO INFORMADO;Tráfico de drogas;01/10/2019;331;;Estadual;Formulário 4;2019;2019;10;4
MT;NÃO INFORMADO;Tráfico de drogas;01/10/2019;327;;Estadual;Formulário 4;2019;2019;10;4
PA;NÃO INFORMADO;Tráfico de drogas;01/10/2019;528;;Estadual;Formulário 4;2019;2019;10;4
PB;NÃO INFORMADO;Tráfico de drogas;01/10/2019;44;;Estadual;Formulário 4;2019;2019;10;4
PE;NÃO INFORMADO;Tráfico de drogas;01/10/2019;598;;Estadual;Formulário 4;2019;2019;10;4
PI;NÃO INFORMADO;Tráfico de drogas;01/10/2019;97;;Estadual;Formulário 4;2019;2019;10;4
PR;NÃO INFORMADO;Tráfico de drogas;01/10/2019;1067;;Estadual;Formulário 4;2019;2019;10;4
RJ;NÃO INFORMADO;Tráfico de drogas;01/10/2019;1747;;Estadual;Formulário 4;2019;2019;10;4
RN;NÃO INFORMADO;Tráfico de drogas;01/10/2019;63;;Estadual;Formulário 4;2019;2019;10;4
RO;NÃO INFORMADO;Tráfico de drogas;01/10/2019;104;;Estadual;Formulário 4;2019;2019;10;4
RR;NÃO INFORMADO;Tráfico de drogas;01/10/2019;42;;Estadual;Formulário 4;2019;2019;10;4
RS;NÃO INFORMADO;Tráfico de drogas;01/10/2019;1142;;Estadual;Formulário 4;2019;2019;10;4
SC;NÃO INFORMADO;Tráfico de drogas;01/10/2019;480;;Estadual;Formulário 4;2019;2019;10;4
SE;NÃO INFORMADO;Tráfico de drogas;01/10/2019;110;;Estadual;Formulário 4;2019;2019;10;4
SP;NÃO INFORMADO;Tráfico de drogas;01/10/2019;4064;;Estadual;Formulário 4;2019;2019;10;4
TO;NÃO INFORMADO;Tráfico de drogas;01/10/2019;100;;Estadual;Formulário 4;2019;2019;10;4
AC;NÃO INFORMADO;Tráfico de drogas;01/11/2019;18;;Estadual;Formulário 4;2019;2019;11;4
AL;NÃO INFORMADO;Tráfico de drogas;01/11/2019;121;;Estadual;Formulário 4;2019;2019;11;4
AM;NÃO INFORMADO;Tráfico de drogas;01/11/2019;227;;Estadual;Formulário 4;2019;2019;11;4
AP;NÃO INFORMADO;Tráfico de drogas;01/11/2019;38;;Estadual;Formulário 4;2019;2019;11;4
BA;NÃO INFORMADO;Tráfico de drogas;01/11/2019;437;;Estadual;Formulário 4;2019;2019;11;4
CE;NÃO INFORMADO;Tráfico de drogas;01/11/2019;525;;Estadual;Formulário 4;2019;2019;11;4
DF;NÃO INFORMADO;Tráfico de drogas;01/11/2019;201;;Estadual;Formulário 4;2019;2019;11;4
ES;NÃO INFORMADO;Tráfico de drogas;01/11/2019;364;;Estadual;Formulário 4;2019;2019;11;4
GO;NÃO INFORMADO;Tráfico de drogas;01/11/2019;568;;Estadual;Formulário 4;2019;2019;11;4
MA;NÃO INFORMADO;Tráfico de drogas;01/11/2019;155;;Estadual;Formulário 4;2019;2019;11;4
MG;NÃO INFORMADO;Tráfico de drogas;01/11/2019;2545;;Estadual;Formulário 4;2019;2019;11;4
MS;NÃO INFORMADO;Tráfico de drogas;01/11/2019;302;;Estadual;Formulário 4;2019;2019;11;4
